fuzzer_id,run_id,iteration_id,Setup,Prover & Verifier,full
3506092e-00c1-4a1e-84f2-ca6b290af36a,1,1,777.81ms,3.64s,5.582861661911011
3506092e-00c1-4a1e-84f2-ca6b290af36a,1,2,664.85ms,3.24s,4.144144535064697
3506092e-00c1-4a1e-84f2-ca6b290af36a,1,3,776.90ms,3.81s,4.781740188598633
3506092e-00c1-4a1e-84f2-ca6b290af36a,2,1,772.90ms,3.27s,4.239151954650879
3506092e-00c1-4a1e-84f2-ca6b290af36a,2,2,795.37ms,3.70s,4.698211669921875
3506092e-00c1-4a1e-84f2-ca6b290af36a,2,3,752.33ms,4.46s,5.4351489543914795
3506092e-00c1-4a1e-84f2-ca6b290af36a,3,1,777.91ms,3.56s,4.561529159545898
3506092e-00c1-4a1e-84f2-ca6b290af36a,3,2,815.28ms,3.30s,4.310375690460205
3506092e-00c1-4a1e-84f2-ca6b290af36a,3,3,933.36ms,3.22s,4.395296812057495
3506092e-00c1-4a1e-84f2-ca6b290af36a,4,1,1.17s,3.35s,4.736081600189209
3506092e-00c1-4a1e-84f2-ca6b290af36a,4,2,853.74ms,3.49s,4.568319797515869
3506092e-00c1-4a1e-84f2-ca6b290af36a,4,3,755.08ms,3.32s,4.281186819076538
3506092e-00c1-4a1e-84f2-ca6b290af36a,5,1,794.41ms,3.95s,4.994764089584351
3506092e-00c1-4a1e-84f2-ca6b290af36a,5,2,722.96ms,4.18s,5.086927652359009
3506092e-00c1-4a1e-84f2-ca6b290af36a,5,3,844.29ms,3.74s,4.788823843002319
3506092e-00c1-4a1e-84f2-ca6b290af36a,6,1,871.13ms,3.80s,4.865619421005249
3506092e-00c1-4a1e-84f2-ca6b290af36a,6,2,907.28ms,3.99s,5.1290812492370605
3506092e-00c1-4a1e-84f2-ca6b290af36a,6,3,868.60ms,3.54s,4.670567989349365
3506092e-00c1-4a1e-84f2-ca6b290af36a,7,1,691.38ms,3.28s,4.171513319015503
3506092e-00c1-4a1e-84f2-ca6b290af36a,7,2,794.25ms,3.34s,4.348214387893677
3506092e-00c1-4a1e-84f2-ca6b290af36a,7,3,772.16ms,3.71s,4.732287645339966
3506092e-00c1-4a1e-84f2-ca6b290af36a,8,1,716.23ms,3.81s,4.741729974746704
3506092e-00c1-4a1e-84f2-ca6b290af36a,8,2,701.57ms,3.38s,4.297459602355957
3506092e-00c1-4a1e-84f2-ca6b290af36a,8,3,793.88ms,3.38s,4.378062009811401
3506092e-00c1-4a1e-84f2-ca6b290af36a,9,1,755.02ms,3.73s,4.711653470993042
3506092e-00c1-4a1e-84f2-ca6b290af36a,9,2,850.50ms,3.64s,4.695078134536743
3506092e-00c1-4a1e-84f2-ca6b290af36a,9,3,767.80ms,3.62s,4.639868497848511
3506092e-00c1-4a1e-84f2-ca6b290af36a,10,1,816.13ms,4.24s,5.282841444015503
3506092e-00c1-4a1e-84f2-ca6b290af36a,10,2,877.65ms,4.07s,5.140110015869141
3506092e-00c1-4a1e-84f2-ca6b290af36a,10,3,744.53ms,3.50s,4.443093299865723
3506092e-00c1-4a1e-84f2-ca6b290af36a,11,1,823.59ms,4.21s,5.235386371612549
3506092e-00c1-4a1e-84f2-ca6b290af36a,11,2,739.67ms,3.76s,4.717174768447876
3506092e-00c1-4a1e-84f2-ca6b290af36a,11,3,788.93ms,3.70s,4.721140146255493
3506092e-00c1-4a1e-84f2-ca6b290af36a,12,1,719.40ms,20.85772967338562
3506092e-00c1-4a1e-84f2-ca6b290af36a,12,2,748.64ms,7.349539041519165
3506092e-00c1-4a1e-84f2-ca6b290af36a,12,3,952.71ms,7.943332672119141
3506092e-00c1-4a1e-84f2-ca6b290af36a,13,1,1.13s,3.60s,4.964656591415405
3506092e-00c1-4a1e-84f2-ca6b290af36a,13,2,705.79ms,3.53s,4.513451099395752
3506092e-00c1-4a1e-84f2-ca6b290af36a,13,3,707.62ms,3.62s,4.57360577583313
3506092e-00c1-4a1e-84f2-ca6b290af36a,14,1,753.77ms,4.64s,5.6020097732543945
3506092e-00c1-4a1e-84f2-ca6b290af36a,14,2,714.00ms,4.20s,5.093301057815552
3506092e-00c1-4a1e-84f2-ca6b290af36a,14,3,709.26ms,4.34s,5.303579092025757
3506092e-00c1-4a1e-84f2-ca6b290af36a,15,1,754.36ms,3.83s,4.776405334472656
3506092e-00c1-4a1e-84f2-ca6b290af36a,15,2,849.89ms,3.71s,4.846106290817261
3506092e-00c1-4a1e-84f2-ca6b290af36a,15,3,727.21ms,6.462335824966431
3506092e-00c1-4a1e-84f2-ca6b290af36a,16,1,772.83ms,3.88s,4.851930618286133
3506092e-00c1-4a1e-84f2-ca6b290af36a,16,2,826.70ms,3.31s,4.3267433643341064
3506092e-00c1-4a1e-84f2-ca6b290af36a,16,3,857.50ms,3.90s,4.972831726074219
3506092e-00c1-4a1e-84f2-ca6b290af36a,17,1,796.77ms,4.18s,5.183061599731445
3506092e-00c1-4a1e-84f2-ca6b290af36a,17,2,758.37ms,4.11s,5.063274383544922
3506092e-00c1-4a1e-84f2-ca6b290af36a,17,3,867.00ms,4.25s,5.35123085975647
3506092e-00c1-4a1e-84f2-ca6b290af36a,18,1,953.85ms,4.35s,5.572384834289551
3506092e-00c1-4a1e-84f2-ca6b290af36a,18,2,800.06ms,3.76s,4.788052320480347
3506092e-00c1-4a1e-84f2-ca6b290af36a,18,3,687.75ms,4.24s,5.128858804702759
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,1,792.21ms,4.17s,5.206640958786011
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,2,924.07ms,3.90s,5.064037322998047
3506092e-00c1-4a1e-84f2-ca6b290af36a,19,3,865.83ms,3.71s,4.785780668258667
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,1,781.94ms,3.81s,4.832413673400879
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,2,789.71ms,3.65s,4.648200988769531
3506092e-00c1-4a1e-84f2-ca6b290af36a,20,3,816.22ms,4.23s,5.259627342224121
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,1,1.18s,4.03s,5.416150808334351
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,2,803.17ms,4.02s,5.0483973026275635
3506092e-00c1-4a1e-84f2-ca6b290af36a,21,3,816.26ms,4.00s,5.030016183853149
38fff377-95dd-43e0-be28-cb7ac12da36d,1,1,830.00ms,3.75s,4.866466283798218
38fff377-95dd-43e0-be28-cb7ac12da36d,1,2,765.06ms,3.78s,4.723971605300903
38fff377-95dd-43e0-be28-cb7ac12da36d,1,3,802.68ms,3.80s,4.821963548660278
43d9740d-9993-45eb-8f57-d437111a1bff,1,1,686.13ms,3.42s,4.3090808391571045
43d9740d-9993-45eb-8f57-d437111a1bff,1,2,783.89ms,3.00s,3.970560073852539
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,1,1,778.40ms,4.09s,5.109789609909058
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,1,2,799.50ms,4.18s,5.242627859115601
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,1,3,709.83ms,3.68s,4.575861692428589
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,2,1,753.89ms,3.79s,4.714558362960815
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,2,2,660.89ms,3.19s,4.029152154922485
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,2,3,928.78ms,3.62s,4.773266792297363
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,3,1,1.00s,27.59s,4129.610399484634
b9ee81a4-f0d6-48e2-9d40-ac4a478ec060,3,2,2.25s,6.64s,9.2130765914917
