fuzzer_id,run_id,iteration_id,Setup,full
62f2d43a-37c4-4a6b-8953-cdb317e618a1,1,1,4.11s,17.41486644744873
62f2d43a-37c4-4a6b-8953-cdb317e618a1,1,2,4.47s,15.07797122001648
62f2d43a-37c4-4a6b-8953-cdb317e618a1,1,3,3.69s,13.319318532943726
62f2d43a-37c4-4a6b-8953-cdb317e618a1,2,1,3.75s,10.490280389785767
62f2d43a-37c4-4a6b-8953-cdb317e618a1,2,2,4.37s,16.43221640586853
62f2d43a-37c4-4a6b-8953-cdb317e618a1,2,3,4.12s,14.008966207504272
62f2d43a-37c4-4a6b-8953-cdb317e618a1,3,1,4.05s,10.935497045516968
62f2d43a-37c4-4a6b-8953-cdb317e618a1,3,2,4.39s,16.71822714805603
62f2d43a-37c4-4a6b-8953-cdb317e618a1,3,3,4.02s,14.78878402709961
62f2d43a-37c4-4a6b-8953-cdb317e618a1,4,1,4.28s,11.216470956802368
62f2d43a-37c4-4a6b-8953-cdb317e618a1,4,2,3.93s,17.25605607032776
