fuzzer_id,run_id,iteration_id,add,and,auipc,beq,bge,bgeu,blt,bltu,bne,div,divu,ebreak,ecall,jal,jalr,lb,lbu,lh,lhu,lw,mul,mulh,mulhsu,mulhu,or,rem,remu,sb,sh,sll,slt,sltu,sra,srl,sub,sw,unimp,xor
62f2d43a-37c4-4a6b-8953-cdb317e618a1,1,1,3637,873,414,684,0,113,0,172,309,0,19,0,178,136,821,0,315,27,0,1342,410,0,0,0,858,0,8,19,27,818,19,306,16,939,168,1305,0,926
62f2d43a-37c4-4a6b-8953-cdb317e618a1,1,2,3621,865,414,684,0,113,0,172,277,0,27,0,178,128,821,0,315,27,0,1335,370,0,0,0,858,0,8,19,27,818,19,314,16,939,168,1305,0,934
62f2d43a-37c4-4a6b-8953-cdb317e618a1,1,3,3637,873,414,684,0,113,0,172,285,0,19,0,178,136,821,0,315,27,0,1342,386,0,0,0,858,0,8,19,27,818,19,306,16,939,168,1305,0,926
62f2d43a-37c4-4a6b-8953-cdb317e618a1,2,1,1492,381,92,155,0,23,2,53,70,0,2,0,50,27,178,0,113,0,4,518,92,0,0,0,695,2,0,19,4,680,0,56,0,757,44,482,0,753
62f2d43a-37c4-4a6b-8953-cdb317e618a1,2,2,1488,381,92,159,0,23,2,53,74,0,2,0,50,25,178,0,113,0,4,518,100,0,0,0,695,2,0,19,4,680,0,56,0,757,44,482,0,751
62f2d43a-37c4-4a6b-8953-cdb317e618a1,2,3,1490,381,92,157,0,23,2,53,78,0,2,0,50,25,178,0,113,0,4,518,102,0,0,0,695,2,0,19,4,680,0,56,0,757,44,482,0,753
62f2d43a-37c4-4a6b-8953-cdb317e618a1,3,1,1859,385,152,155,0,41,4,73,51,0,0,0,74,44,298,0,143,0,0,657,6,0,0,0,716,0,0,19,0,698,4,108,0,695,68,602,0,789
62f2d43a-37c4-4a6b-8953-cdb317e618a1,3,2,1847,389,152,151,0,41,4,73,55,0,0,0,74,44,298,0,143,0,0,657,6,0,0,0,712,0,0,19,0,698,4,108,0,695,64,602,0,793
62f2d43a-37c4-4a6b-8953-cdb317e618a1,3,3,1847,389,152,151,0,41,4,73,55,0,0,0,74,44,298,0,143,0,0,657,6,0,0,0,712,0,0,19,0,698,4,108,0,695,64,602,0,793
62f2d43a-37c4-4a6b-8953-cdb317e618a1,4,1,1813,374,152,145,0,49,0,65,47,0,0,0,74,33,298,0,119,0,0,645,6,4,0,0,688,0,0,19,0,674,0,88,0,695,64,593,0,766
62f2d43a-37c4-4a6b-8953-cdb317e618a1,4,2,1813,374,152,145,0,49,0,65,47,0,0,0,74,33,298,0,119,0,0,645,6,4,0,0,688,0,0,19,0,674,0,88,0,695,64,593,0,766
